fund_name,charge_ongoing,management,fee
iShares U.S_ Broker-Dealers & Securities Exchanges ETF,,0.48,
iShares U.S. Energy ETF,,0.48,
iShares U.S. Equity Factor ETF,,0.08,
iShares U.S. Equity Factor Rotation Active ETF,,0.30,
iShares U.S. Financial Services ETF,,0.48,
iShares U.S. Financials ETF,,0.48,
iShares U.S. Insurance ETF,,0.48,
iShares U.S. Pharmaceuticals ETF,,0.48,
iShares U.S. Small-Cap Equity Factor ETF,,0.15,
iShares U.S. Tech Breakthrough Multisector ETF,,0.30,
iShares U.S. Technology ETF,,0.48,
iShares U.S. Utilities ETF,,0.48,
iShares US Consumer Discretionary ETF,,0.48,
John Hancock Multifactor Developed International ETF,,0.35,
John Hancock Multifactor Large Cap ETF,,0.26,
John Hancock Multifactor Mid Cap ETF,,0.37,
JPMorgan Diversified Return U.S. Equity ETF,,0.18,
JPMorgan Diversified Return U.S_ Mid Cap Equity ETF,,0.24,
JPMorgan Diversified Return U.S. Small Cap Equity ETF,,0.29,
JPMorgan Equity Premium Income ETF,,0.35,
JPMorgan Fundamental Data Science Large Value ETF,,0.30,
JPMorgan International Research Enhanced Equity ETF,,0.20,
JPMorgan Small & Mid Cap Enhanced Equity ETF,,0.25,
JPMorgan U.S. Momentum Factor ETF,,0.12,
JPMorgan U.S. Quality Factor ETF,,0.12,
JPMorgan U.S. Value Factor ETF,,0.12,
KraneShares MSCI Emerging Markets ex China Index ETF,,0.58,
KraneShares Value Line@ Dynamic Dividend Equity Index ETF,,0.55,
Lazard International Dynamic Equity ETF,,0.65,
LeaderSharesTM AlphaFactor@ US Core Equity ETF,,0.75,
Leuthold Select Industries ETF,,0.50,
Logan Capital Broad Innovative Growth ETF,,0.65,
Matrix Advisors Value ETF,,0.75,
Natixis Vaughan Nelson Select ETF,,0.70,
Neuberger Commodity Strategy ETF,,0.50,
Neuberger Option Strategy ETF,,0.41,
NYLI Candriam International Equity ETF,,0.15,
NYLI Candriam U.S. Large Cap Equity ETF,,0.09,
NYLI FTSE International Equity Currency Neutral ETF,,0.19,
Pacer Lunt Large Cap Multi-Factor Alternator ETF,,0.60,
Pacer Lunt MidCap Multi-Factor Alternator ETF,,0.60,
Pacer US Cash Cows Growth ETF,,0.60,
Pacer US Export Leaders ETF,,0.60,
PIMCO RAFI Dynamic Multi-Factor International Equity ETF,,0.39,
PIMCO RAFI Dynamic Multi-Factor U.S. Equity ETF,,0.29,
PIMCO RAFI ESG U.S. ETF PIMCO RAFI ESG U.S. ETF,,0.29,
ProShares DJ Brookfield Global Infrastructure ETF,,0.45,
ProShares s&P 5000 ex-Energy ETF,,0.13,
ProShares S&P 500@0 ex-Financials ETF,,0.13,
ProShares S&P 500@ ex-Health Care ETF,,0.13,
RH Tactical Rotation ETF,,1.00,
RiverFront Dynamic US Divvidend Advantage ETF,,0.52,
Robo Global@ Artificial Intelligence ETF,,0.75,
Schwab 1000 ETF,,0.03,
Schwab Fundamental Emerging Markets Equity ETF,,0.39,
Schwab Fundamental International Equity ETF,,0.25,
Schwab Fundamental International Small Equity ETF,,0.39,
Schwab Fundamental U.S. Broad Market ETF,,0.25,
Schwab Fundamental U.S: Large Company ETF,,0.25,
Schwab Fundamental U.S. Small Company ETF,,0.25,
Schwab International Equity ETFTM,,0.03,
Schwab U.S_ Broad Market ETF TM,,0.03,
Schwab U.S. Dividend Equity ETFTM,,0.06,
Schwab U.S. Large-Cap ETFTM,,0.03,
Schwab U.S. Large-Cap Growth ETFTM,,0.04,
Schwab U.S. Large-Cap Value ETFTM,,0.04,
Simplify US Equity PLUS Upside Convexity ETF,,0.50,
SoFi Select 500 ETF,,0.19,
SoFi Social 50 ETF,,0.29,
SP Funds S&P 500 Sharia Industry Exclusions ETF,,0.45,
SPDR s&PO North American Natural Resources ETF,,0.35,
SPDRW Dow Jones Industrial Average ETF Trust,0.16,0.00,
SPDR@ EURO STOXX 50 ETF,,0.29,
SPDR@ MSCI ACWI ex-US ETF,,0.30,
SPDR@ MSCI EAFE Fossil Fuel Reserves Free ETF,,0.20,
SPDR@ MSCI EAFE StrategicFactors ETF,,0.30,
SPDRO MSCI World StrategicFactors ETF,,0.30,
SPDRW Portfolio Developed World ex-US ETF,,0.03,
SPDRO Portfolio Europe ETF,,0.07,
SPDR@ Portfolio MSCI Global Stock Market ETF,,0.09,
SPDR@ S&P 500@ ETF,,0.09,
SPDRO S&P Emerging Markets Dividend ETF,,0.49,
SPDRO s&P Emerging Markets Small Cap ETF,,0.65,
SPDRO s&P Global Natural Resources ETF,,0.40,
SPDR@ S&P@ Global Infrastructure ETF,,0.40,
SPDR@ S&P@ International Dividend ETF,,0.45,
Sprott Gold Miners ETF,,0.35,
Sprott Uranium Miners ETF,,0.75,
State Street@ Communication Services Select Sector SPDRW ETF,,0.05,
State Streete Consumer Discretionary Select Sector SPDR@ ETF,,0.05,
State Street@ Energy Select Sector SPDR@ ETF,,0.05,
State Street@ Financial Select Sector SPDR@ ETF,,0.05,
State Street@ Health Care Select Sector SPDR@ ETF,,0.05,
State Street@ Industrial Select Sector SPDR@ ETF,,0.05,
State Street@ Multi-Asset Real Return ETF,,0.50,
State Street@ SPDR@ Global Dow ETF,,0.50,
State Streeto SPDRO MSCI USA StrategicFactors? ETF,,0.15,
State Street@ SPDR@ NYSE Technology ETF,,0.35,
State Street@ SPDR@ Portfolio S&P 1500 Composite Stock Market ETF,,0.03,
State Streete SPDRW Portfolio S&P 400 TM Mid Cap ETF,,0.05,
State Street@ SPDR@ Portfolio S&P 500 Growth ETF,,0.04,
State Street@ SPDR@ Portfolio S&P 500 Value ETF,,0.04,
State Street@ SPDR@ Portfolio S&P 500@ ETF,,0.02,
State Street@ SPDR@ Portfolio S&P 500@ High Dividend ETF,,0.07,
State Streete SPDR@ Russell 1000 Low Volatility Focus ETF,,0.20,
State Streete SPDR@ Russell 1000 Momentum Focus ETF,,0.20,
State Streete SPDR@ Russell 1000 Yield Focus ETF,,0.20,
State Streete SPDRW s&P 400 TM Mid Cap Value ETF,,0.15,
State Street@ SPDR@ s&P 500@ ESG ETF,,0.10,
State Street@ SPDR@ s&P 600TM Small Cap Value ETF,,0.15,
State Street@ SPDRO S&P Kensho Final Frontiers ETF,,0.45,
State Street@ SPDRW s&P Kensho Future Security ETF,,0.45,
State Streete SPDRO s&P@ 1500 Momentum Tilt ETF,,0.12,
State Street@e SPDR@ s&PB 1500 Value Tilt ETF,,0.12,
State Streete SPDR@ S&P@ 500 Fossil Fuel Reserves Free ETF,,0.20,
State Street@ SPDRW S&P@ Aerospace & Defense ETF,,0.35,
State Street@ SPDRW SPO Capital Markets ETF,,0.35,
State Street@ SPDRR S&P@ Dividend ETF,,0.35,
State Streete SPDRO S&P@ Homebuilders ETF,,0.35,
State Streete SPDRO S&P@ Insurance ETF,,0.35,
State Street@ SPDR@ s&P@ Metals & Mining ETF,,0.35,
State Street@ SPDRW S&P@ Semiconductor ETF,,0.35,
State Street@ SPDR@ S&PB Telecom ETF,,0.35,
State Streete SPDRO US Small Cap Low Volatility Index ETF,,0.12,
State Street@ Technology Select Sector SPDR@ ETF,,0.05,
State Street@ Utilities Select Sector SPDR@ ETF,,0.05,
Stratified LargeCap Index ETF,,0.45,
T. Rowe Price Blue Chip Growth ETF,,0.57,
T. Rowe Price Equity Income ETF,,0.54,
T. Rowe Price Growth Stock ETF,,0.52,
The Hoya Capital Housing ETF,,0.30,
Thrivent Mid Cap Value ETF,,0.55,
Timothy Plan High Dividend Stock ETF,,0.52,
Timothy Plan International ETF,,0.62,
Timothy Plan US LargelMid Cap Core ETF,,0.52,
Timothy Plan US Small Cap Core ETF,,0.52,
Toews Agility Shares Managed Risk ETF,,0.85,
U.S. Global GO GOLD and Precious Metal Miners ETF,,0.60,
"United States Commodity Index Fund, LP",,0.80,
USCF SummerHaven Dynamic Commodity Strategy No K-1 Fund,,0.80,
VanEck BDC Income ETF,,0.40,
VanEck Energy Income ETF,,0.45,
VanEck Environmental Services ETF,,0.50,
VanEck Gold Miners ETF,,0.50,
VanEck Natural Resources ETF,,0.40,
VanEck Oil Refiners ETF,,0.50,
VanEck Real Assets ETF,,0.50,
VanEck Steel ETF,,0.50,
VanEck Uranium and Nuclear ETF,,0.50,
Vanguard Communication Services Index Fund ETF Shares,,0.08,
Vanguard Consumer Discretionary Index Fund ETF Shares,,0.08,
Vanguard Dividend Appreciation Index Fund ETF Shares,,0.04,
Vanguard Energy Index Fund ETF Shares,,0.08,
Vanguard Financials Index Fund ETF Shares,,0.08,
Vanguard FTSE AII-World ex-US Index Fund ETF Shares,,0.02,
Vanguard FTSE Developed Markets Index Fund ETF Shares,,0.04,
Vanguard FTSE Europe ETF,,0.05,
Vanguard Growth Index Fund ETF Shares,,0.03,
Vanguard High Dividend Yield Index Fund ETF Shares,,0.05,
Vanguard Industrials Index Fund ETF Shares,,0.08,
Vanguard Information Technology Index Fund ETF Shares,,0.08,
Vanguard Large-Cap Index Fund ETF Shares,,0.03,
Vanguard Materials Index Fund ETF Shares,,0.08,
Vanguard Mega Cap Growth Index Fund ETF Shares,,0.06,
Vanguard Mega Cap Index Fund ETF Shares,,0.06,
Vanguard Mega Cap Value Index Fund ETF Shares,,0.06,
Vanguard Mid-Cap Index Fund ETF Shares,,0.03,
Vanguard Mid-Cap Value Index Fund ETF Shares,,0.06,
Vanguard S&P 500 ETF,,0.02,
Vanguard S&P 500 Growth Index Fund ETF Shares,,0.06,
Vanguard S&P 500 Value Index Fund ETF Shares,,0.06,
Vanguard S&P Mid-Cap 400 Index Fund ETF Shares,,0.06,
Vanguard S&P Mid-Cap 400 Value Index Fund ETF Shares,,0.08,
Vanguard S&P Small-Cap 600 Value Index Fund ETF Shares,,0.08,
Vanguard Small-Cap Value Index Fund ETF Shares,,0.06,
Vanguard Total Stock Market Index Fund ETF Shares,,0.02,
Vanguard Total World Stock Index Fund ETF Shares,,0.05,
Vanguard Utilities Index Fund ETF Shares,,0.08,
Vanguard Value Index Fund ETF Shares,,0.03,
Vident International Equity Strategy ETF,,0.61,
Virtus InfraCap U.S. Preferred Stock ETF,,0.80,
Virtus LifeSci Biotech Products ETF,,0.79,
Virtus Private Credit ETF,,0.75,
Virtus Reaves Utilities ETF,,0.49,
WBI Power Factor@ High Dividend ETF,,0.55,
WisdomTree Emerging Markets High Dividend Fund,,0.63,
Wisdom Tree Emerging Markets Multifactor Fund,,0.48,
Wisdom Tree Emerging Markets SmallCap Dividend Fund,,0.58,
Wisdom Tree Enhanced Commodity Strategy Fund,,0.55,
Wisdom Tree Equity Premium Income Fund,,0.44,
WisdomTree Europe Hedged Equity Fund,,0.58,
WisdomTree European Opportunities Fund,,0.58,
Wisdom Tree Global High Dividend Fund,,0.58,
Wisdom Tree India Earnings Fund,,0.83,
Wisdom Tree International Al Enhanced Value Fund,,0.58,
Wisdom Tree International Equity Fund,,0.48,
Wisdom Tree International Hedged Quality Dividend Growth Fund,,0.58,
Wisdom Tree International High Dividend Fund,,0.58,
Wisdom Tree International MidCap Dividend Fund,,0.58,
Wisdom Tree International Multifactor Fund,,0.38,
Wisdom Tree Japan Hedged Equity Fund,,0.48,
WisdomTree Japan SmallCap Divvidend Fund,,0.58,
WisdomTree True Developed International Fund,,0.48,
Wisdom Tree U.S. Al Enhanced Value Fund,,0.38,
Wisdom Tree U.S. High Dividend Fund,,0.38,
Wisdom Tree U.S. LargeCap Dividend Fund,,0.28,
WisdomTree U.S. LargeCap Fund,,0.08,
"WisdomTree U.S, MidCap Dividend Fund",,0.38,
Wisdom Tree U.S_ MidCap Earnings Fund,,0.38,
Wisdom Tree U.S. SmallCap Earnings Fund,,0.38,
Wisdom Tree U.S. Total Dividend Fund,,0.28,
Wisdom Tree U.S. Value Fund,,0.12,
Xtrackers MSCI AIl World ex US Hedged Equity ETF,,0.40,
Xtrackers MSCI EAFE Hedged Equity ETF,,0.35,
Xtrackers MSCI EAFE High Dividend Yield Equity ETF,,0.09,
Xtrackers MSCI Europe Hedged Equity ETF,,0.45,
Xtrackers MSCI Eurozone Hedged Equity ETF,,0.45,
Xtrackers MSCI Japan Hedged Equity ETF,,0.45,
Xtrackers MSCI Kokusai Equity ETF,,0.09,
Xtrackers MSCI USA Selection Equity ETF,,0.09,
Xtrackers Russell 1000 US QARP ETF,,0.19,
Xtrackers Russell US Multifactor ETF,,0.17,
Xtrackers S&P 500 Scored & Screened ETF,,0.10,
